name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2024-02-11,8.1,0.8,5,4.2,-2.1,1.6,2.8,86.4,0.002,100,4.17,rain,0,0,47.5,29.4,256.3,991.6,60.9,15.9,49.9,4.3,3,,2024-02-11T07:52:25,2024-02-11T17:26:55,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-12,8,1.9,4.7,4.2,-2.7,0.7,1.7,81.1,0.077,100,12.5,rain,0,0,51.5,28.5,236.2,1001.4,39.1,20,59.1,5.1,3,,2024-02-12T07:50:27,2024-02-12T17:28:53,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,AMOUK11,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-13,8.5,4.3,6.7,7.1,1.3,4.5,4.9,88.6,0.761,100,12.5,rain,0,0,28.4,16.8,162.2,1005.4,89,17.8,35.8,3.1,2,,2024-02-13T07:48:27,2024-02-13T17:30:52,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,AMOUK11,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-14,13,7.1,11.2,13,6.4,11.1,9.7,90.2,2.467,100,8.33,rain,0,0,40.3,19.4,200.5,1003.8,88.8,15.6,29.4,2.6,1,,2024-02-14T07:46:26,2024-02-14T17:32:50,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-15,12.8,8.3,11.2,12.8,6.7,10.9,9.8,91.1,6.042,100,12.5,rain,0,0,25.6,22,229.9,1001.9,87.3,16.8,34.6,2.9,2,,2024-02-15T07:44:24,2024-02-15T17:34:48,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-16,10.9,7.8,9.4,10.9,5.8,8,7.9,90.4,0.682,100,12.5,rain,0,0,52.2,28.1,236.4,1012.7,79.7,14.1,47.4,4.2,3,,2024-02-16T07:42:20,2024-02-16T17:36:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-17,12.9,5.4,10.6,12.9,4.6,10.2,9.5,92.8,1.599,100,8.33,rain,0,0,48.2,19.3,202,1020.2,79.3,13.7,24.8,2.1,3,,2024-02-17T07:40:15,2024-02-17T17:38:44,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-18,12.7,9.6,10.9,12.7,6.9,10.2,8.8,87,0.177,100,12.5,rain,0,0,41,24.6,257,1025.1,77.6,16.7,53.7,4.6,4,,2024-02-18T07:38:09,2024-02-18T17:40:42,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-19,11.1,7.9,9.4,11.1,4.4,7.5,6.6,82.6,0.452,100,4.17,rain,0,0,58,27.2,245.5,1028,75.8,14.7,42.9,3.7,2,,2024-02-19T07:36:01,2024-02-19T17:42:39,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-20,12.1,5.5,9.6,12.1,3,8.1,6.8,82.7,0.85,100,8.33,rain,0,0,60.1,30.5,227.1,1018.8,72.6,18.6,44.5,3.9,3,,2024-02-20T07:33:53,2024-02-20T17:44:36,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-21,12.8,7.4,10.2,12.8,4.8,8.8,7.2,81.8,1.62,100,8.33,rain,0,0,64.8,39.1,217.5,995.6,78.2,16.7,51.9,4.6,3,,2024-02-21T07:31:43,2024-02-21T17:46:33,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-22,9,3,5.2,5.8,-1.9,1.1,2.2,81.5,3.818,100,12.5,rain,0,0,54.7,36.2,248.8,981.5,75.5,19.3,52.6,4.5,3,,2024-02-22T07:29:33,2024-02-22T17:48:30,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-23,6.8,2.4,3.9,3.6,-2.2,-0.3,1.2,83.1,0.01,100,8.33,rain,0,0,47.9,29,245.6,983.1,61.3,19.6,56,4.9,5,,2024-02-23T07:27:21,2024-02-23T17:50:26,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-24,7.2,1.9,3.9,5,-2,1.2,2.2,88.8,0.004,100,4.17,rain,0,0,30.2,18.6,256.1,993.2,80.4,17.9,63.3,5.4,5,,2024-02-24T07:25:08,2024-02-24T17:52:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-25,7.4,2.7,5.4,3.1,0.1,1.8,3.2,85.9,1.493,100,4.17,rain,0,0,53.6,31.7,56.8,996.8,84.3,18.8,34.4,3,2,,2024-02-25T07:22:55,2024-02-25T17:54:18,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-26,8.7,1.3,4.2,5.9,-2.5,0.9,1,80.1,0.747,100,4.17,rain,0,0,37.8,25.2,333.7,1019.1,40.4,20.6,70.8,6.1,4,,2024-02-26T07:20:40,2024-02-26T17:56:14,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-27,10,2.1,6.8,7,-1.1,3.6,2.7,75.6,0.149,100,4.17,rain,0,0,55.4,32.6,241.2,1017.5,80.9,16.2,61.9,5.3,4,,2024-02-27T07:18:25,2024-02-27T17:58:09,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,AMOUK11,F4142,AMOUK43,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-28,12,4.8,9.1,12,2.6,7.7,7,86.8,5.9,100,54.17,rain,0,0,54.4,24.7,216.5,1009,84.5,9.3,35.6,3.1,2,,2024-02-28T07:16:09,2024-02-28T18:00:04,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AMOUK11,F4142,AMOUK43,EIDW,EIME"
dublin,2024-02-29,8.1,2.1,5.4,4.6,-1.8,1.7,1.7,77.9,0,0,0,,0,0,53.1,28.4,232,999.4,56.2,9.9,81.8,7.1,5,,2024-02-29T07:13:52,2024-02-29T18:01:59,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AMOUK11,F4142,AMOUK43,EIDW,EIME"
